cocktail_name,alcoholic,category,cocktail_image,cocktail_glass,iba,instructions,ingredient_1_name,ingredient_1_id,ingredient_2_name,ingredient_2_id,ingredient_3_name,ingredient_3_id,ingredient_4_name,ingredient_4_id,ingredient_5_name,ingredient_5_id,ingredient_6_name,ingredient_6_id,measure_1,measure_2,measure_3,measure_4,measure_5,measure_6
Orange Crush,Alcoholic,Shot,http://www.thecocktaildb.com/images/media/drink/zvoics1504885926.jpg,Shot glass,,Add all ingredients to tumbler-Pour as shot,Vodka,273,Triple sec,266,Orange juice,195,,null,,null,,null,1 oz,1 oz,1 oz,,,
Flaming Dr. Pepper,Alcoholic,Shot,http://www.thecocktaildb.com/images/media/drink/d30z931503565384.jpg,Collins Glass,,"Add Amaretto, Bacardi, and vodka. Mix in the Dr. Pepper and beer",Amaretto,12,Vodka,273,151 proof rum,1,Dr. Pepper,106,Beer,34,,null,1 oz,1 oz,1 oz Bacardi,1 oz,1 oz,
252,Alcoholic,Shot,http://www.thecocktaildb.com/images/media/drink/rtpxqw1468877562.jpg,Shot glass,,"Add both ingredients to shot glass, shoot, and get drunk quick",151 proof rum,1,Wild Turkey,281,,null,,null,,null,,null,1/2 shot Bacardi,1/2 shot,,,,
Champagne Cocktail,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/ehh5df1504366811.jpg,Champagne flute,Contemporary Classics,Add dash of Angostura bitter onto sugar cube and drop it into champagne flute. Add cognac followed by gently pouring chilled champagne. Garnish with orange slice and maraschino cherry.,Champagne,62,Sugar,254,Bitters,38,Lemon peel,162,Cognac,84,,null,Chilled,1 piece,2 dashes,1 twist of,1 dash,
Owen's Grandmother's Revenge,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/0wt4uo1503565321.jpg,Highball glass,,Add ingredients and mix in blender.,Whiskey,277,Beer,34,Lemonade,165,Ice,145,,null,,null,12 oz,12 oz,12 oz frozen,1 cup crushed,,
Kool First Aid,Alcoholic,Shot,http://www.thecocktaildb.com/images/media/drink/hfp6sv1503564824.jpg,Shot glass,,"Add Kool Aid to a double shot glass, and top with rum. Slam and shoot.",151 proof rum,1,Kool-Aid,157,,null,,null,,null,,null,2 oz light,1/2 tsp Tropical,,,,
24k nightmare,Alcoholic,Shot,http://www.thecocktaildb.com/images/media/drink/yyrwty1468877498.jpg,Shot glass,,"Add over ice,shake and pour.",Goldschlager,130,Jägermeister,150,Rumple Minze,230,151 proof rum,1,,null,,null,1/2 oz,1/2 oz,1/2 oz,1/2 oz Bacardi,,
Malibu Twister,Alcoholic,Cocktail,http://www.thecocktaildb.com/images/media/drink/2dwae41504885321.jpg,Highball glass,,"Add rum & trister then, add cranberry jucie,stir",Malibu rum,176,Tropicana,267,Cranberry juice,92,,null,,null,,null,2 parts,2 parts,1 part,,,
Girl From Ipanema,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/xypspq1469090633.jpg,Wine Glass,,"Add the cachaca, lemon juice and syrup to your boston glass. Add ice and shake until ice cold. Pour into a chilled flute and top-up with Champagne",Cachaca,51,Lemon Juice,161,Agave Syrup,9,Champagne,62,,null,,null,25 ml,15 ml,10 ml,top up with,,
Kir,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/apneom1504370294.jpg,Wine Glass,,"Add the crème de cassis to the bottom of the glass, then top up with wine.",Creme de Cassis,98,Champagne,62,,null,,null,,null,,null,1 part,5 parts,,,,
Irish Russian,Alcoholic,Beer,http://www.thecocktaildb.com/images/media/drink/swqurw1454512730.jpg,Highball glass,,Add the ingredients in the order listed in the recipe. Care must be taken when adding the Guinness to prevent an excess of foam. Do Not add ice.,Vodka,273,Kahlua,153,Coca-Cola,75,Guinness stout,139,,null,,null,1 shot,1 shot,1 dash,Fill with,,
Talos Coffee,Alcoholic,Coffee / Tea,http://www.thecocktaildb.com/images/media/drink/rswqpy1441246518.jpg,Brandy snifter,,Add your GM and then add your coffee.,Grand Marnier,132,Coffee,81,,null,,null,,null,,null,3 parts,1 part,,,,
Jack's Vanilla Coke,Alcoholic,Other,http://www.thecocktaildb.com/images/media/drink/kjnt7z1504793319.jpg,Old-fashioned glass,,"After pouring in your ingredients, and adding 3-5 ice cubes, according to taste. Stir the drink with a stirrer to get the Vanilla off the bottom.",Ice,145,Tennessee whiskey,261,Vanilla extract,269,Coca-Cola,75,,null,,null,4-5,2 oz,1 tsp,10-12 oz,,
Arctic Mouthwash,Alcoholic,Punch / Party Drink,http://www.thecocktaildb.com/images/media/drink/wqstwv1478963735.jpg,Cocktail glass,,Blend all ingredients in a blender on high until ice is finely crushed. It should be of a slushy consistency. Pour immediately and serve.,Maui,182,Mountain Dew,188,Ice,145,,null,,null,,null,5 oz blue,5 oz," cubes
","
","
","
"
Vodka Fizz,Alcoholic,Other,http://www.thecocktaildb.com/images/media/drink/xwxyux1441254243.jpg,White wine glass,,"Blend all ingredients, save nutmeg. Pour into large white wine glass and sprinkle nutmeg on top.",Vodka,273,Half-and-half,140,Limeade,175,Ice,145,Nutmeg,189,,null,2 oz,2 oz,2 oz,"
","
","
"
